               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  92,             0.02876,            0.039982,           0.0015354,             0.94973,              0.9445,             0.96545,             0.68663,            0.025246,            0.037015,           0.0013084,           0.0081068,           0.0081068,           0.0081068
                  93,            0.027594,            0.037907,            0.001303,             0.95728,             0.94582,             0.96773,             0.68557,            0.025288,            0.036865,           0.0012592,           0.0080682,           0.0080682,           0.0080682
                  94,            0.027419,            0.037691,           0.0013783,             0.95203,             0.93938,             0.96651,             0.68466,             0.02509,            0.036925,           0.0012683,           0.0080294,           0.0080294,           0.0080294
                  95,            0.027479,            0.037647,            0.001403,             0.94098,             0.95976,             0.96861,             0.69171,            0.025032,            0.036469,           0.0012307,           0.0079903,           0.0079903,           0.0079903
                  96,            0.027604,            0.038517,           0.0014184,             0.94554,             0.95724,             0.97043,             0.68468,            0.025093,            0.036371,            0.001173,           0.0079509,           0.0079509,           0.0079509
                  97,            0.027521,            0.037906,           0.0013617,             0.94515,             0.95506,             0.97225,             0.68645,            0.025332,            0.036562,           0.0011496,           0.0079112,           0.0079112,           0.0079112
                  98,            0.027141,            0.038559,           0.0013266,               0.947,             0.94805,             0.96813,             0.69281,            0.024839,            0.036585,           0.0011845,           0.0078713,           0.0078713,           0.0078713
                  99,            0.026482,            0.037424,            0.001369,             0.94847,             0.94135,              0.9673,              0.6899,            0.025389,            0.036796,           0.0012766,           0.0078311,           0.0078311,           0.0078311
                 100,            0.026735,            0.038928,           0.0013647,             0.95092,             0.95044,             0.96948,             0.69074,            0.024978,            0.036479,           0.0011918,           0.0077907,           0.0077907,           0.0077907
                 101,            0.026456,            0.036553,           0.0013156,             0.95172,             0.94774,             0.96959,              0.6888,            0.025033,             0.03669,           0.0012859,             0.00775,             0.00775,             0.00775
                 102,            0.025997,             0.03654,           0.0013449,             0.95813,             0.93896,             0.96475,             0.68806,            0.024848,            0.036828,           0.0012491,           0.0077091,           0.0077091,           0.0077091
                 103,            0.026834,            0.038131,           0.0013292,             0.94955,             0.94528,             0.96501,             0.68804,            0.025012,            0.036834,           0.0012104,           0.0076679,           0.0076679,           0.0076679
                 104,            0.026559,            0.037943,            0.001281,             0.95327,             0.95256,             0.96821,             0.69503,             0.02462,            0.036265,            0.001147,           0.0076265,           0.0076265,           0.0076265
                 105,            0.026704,            0.038643,           0.0014486,             0.95375,             0.95034,             0.96927,             0.69093,            0.025019,            0.036448,            0.001199,           0.0075848,           0.0075848,           0.0075848
                 106,            0.026236,            0.037041,           0.0012716,             0.95063,             0.95136,             0.96743,             0.69083,            0.024828,            0.036717,           0.0011879,            0.007543,            0.007543,            0.007543
                 107,            0.026744,            0.037574,           0.0013811,             0.95039,             0.95232,             0.96835,             0.69325,            0.024961,            0.036674,           0.0012697,           0.0075009,           0.0075009,           0.0075009
                 108,             0.02608,            0.036358,           0.0013681,             0.95512,             0.94642,             0.96759,             0.69331,            0.024826,            0.036385,           0.0012829,           0.0074585,           0.0074585,           0.0074585
                 109,            0.026561,            0.036723,           0.0013398,             0.94671,             0.95134,             0.96681,              0.6894,            0.025016,            0.036138,           0.0012162,            0.007416,            0.007416,            0.007416
                 110,            0.026201,            0.036526,           0.0011994,             0.94414,             0.95128,             0.96631,             0.68911,            0.024814,            0.036673,           0.0011968,           0.0073733,           0.0073733,           0.0073733
                 111,            0.025664,            0.037004,           0.0013062,              0.9465,             0.95567,              0.9675,             0.69192,            0.024922,            0.036548,           0.0012216,           0.0073303,           0.0073303,           0.0073303
                 112,            0.026031,            0.037497,            0.001323,             0.94381,             0.95094,              0.9684,             0.69226,            0.024884,             0.03668,           0.0012487,           0.0072872,           0.0072872,           0.0072872
                 113,            0.026765,            0.037192,           0.0012468,             0.95315,             0.94006,             0.96681,             0.68827,            0.024885,            0.036482,           0.0011506,           0.0072438,           0.0072438,           0.0072438
                 114,            0.026505,            0.035867,           0.0011522,             0.95312,             0.95102,             0.96905,             0.68752,            0.025096,            0.037142,           0.0011608,           0.0072003,           0.0072003,           0.0072003
                 115,            0.025972,            0.036461,           0.0013744,             0.95519,             0.94746,             0.96886,             0.69201,            0.024746,            0.036942,           0.0012245,           0.0071566,           0.0071566,           0.0071566
                 116,            0.025534,            0.035852,            0.001208,             0.95248,             0.95202,             0.97062,               0.696,            0.024672,            0.036673,            0.001171,           0.0071127,           0.0071127,           0.0071127
                 117,             0.02577,            0.036135,           0.0012479,             0.95243,             0.94865,             0.96634,             0.69469,            0.024715,            0.036866,           0.0011684,           0.0070686,           0.0070686,           0.0070686
                 118,            0.025629,             0.03753,           0.0012919,             0.94873,             0.95176,             0.96609,             0.69371,            0.024701,            0.036801,           0.0011947,           0.0070243,           0.0070243,           0.0070243
                 119,            0.026279,            0.036612,            0.001276,              0.9483,             0.94907,             0.96746,             0.69544,            0.024717,            0.036936,             0.00125,           0.0069799,           0.0069799,           0.0069799
                 120,            0.025587,            0.036999,           0.0013085,             0.95391,             0.94558,             0.96752,             0.69574,            0.024521,            0.036558,           0.0011926,           0.0069353,           0.0069353,           0.0069353
                 121,            0.025563,            0.036662,            0.001211,             0.94245,              0.9557,             0.96921,             0.69435,            0.024763,            0.036686,           0.0011651,           0.0068906,           0.0068906,           0.0068906
                 122,            0.025811,            0.037092,           0.0011642,             0.95327,             0.94426,             0.96952,             0.69193,            0.024862,            0.036729,           0.0011473,           0.0068457,           0.0068457,           0.0068457
                 123,            0.025855,            0.036719,           0.0012593,             0.94719,             0.95113,             0.96969,             0.69106,            0.024756,            0.036459,           0.0011833,           0.0068006,           0.0068006,           0.0068006
                 124,            0.025639,            0.036314,           0.0012815,              0.9482,             0.95239,             0.96672,             0.69537,            0.024647,            0.036228,           0.0011983,           0.0067555,           0.0067555,           0.0067555
                 125,            0.025697,            0.038398,            0.001275,             0.95738,             0.95042,             0.97178,             0.69637,             0.02466,            0.035998,           0.0011962,           0.0067101,           0.0067101,           0.0067101
                 126,            0.024998,            0.035618,           0.0012319,             0.95142,             0.95211,             0.96918,             0.69603,            0.024533,            0.036329,           0.0011699,           0.0066647,           0.0066647,           0.0066647
                 127,             0.02479,            0.035651,           0.0011461,             0.95623,             0.94449,             0.96679,             0.69431,            0.024684,            0.036528,           0.0012133,           0.0066191,           0.0066191,           0.0066191
                 128,            0.024994,            0.036758,           0.0011954,             0.95054,              0.9446,             0.96684,             0.69671,             0.02453,            0.036389,           0.0012372,           0.0065734,           0.0065734,           0.0065734
                 129,            0.025356,            0.036926,           0.0011469,             0.95209,             0.94531,              0.9669,             0.70057,            0.024572,            0.036514,           0.0012143,           0.0065276,           0.0065276,           0.0065276
                 130,            0.025115,            0.037275,           0.0012064,             0.94204,             0.95611,             0.96775,             0.69383,            0.024623,            0.036499,           0.0011717,           0.0064816,           0.0064816,           0.0064816
                 131,            0.025507,            0.035392,           0.0011564,             0.95002,              0.9447,             0.96683,             0.69161,            0.024848,            0.036898,           0.0012068,           0.0064356,           0.0064356,           0.0064356
                 132,            0.025019,            0.036643,           0.0011258,             0.94652,             0.95112,               0.966,             0.69284,            0.024797,            0.036985,           0.0011829,           0.0063895,           0.0063895,           0.0063895
                 133,            0.024572,            0.035898,           0.0011968,             0.95212,             0.94949,             0.96832,             0.70193,            0.024492,            0.036622,           0.0011938,           0.0063432,           0.0063432,           0.0063432
